heˀgę́:ˀęh	'my younger brother'	[he-ˀgę́:ˀęh]	I:him-younger.sibling
hesheˀgę́:ˀęh	'your younger brother'	[heshe-ˀgę́:ˀęh]	you:him-younger.sibling
kheˀgę́:ˀęh	'my younger sister'	[khe-ˀgę́:ˀęh]	I:her-younger.sibling
ǫdade̲ˀgę́:ˀęh	'her younger sister'	[ǫdade̲-ˀgę́:ˀęh]	she:her-younger.sibling
shagoˀgę́:ˀęh	'his younger sister'	[shago-ˀgę́:ˀęh]	he:her/them-younger.sibling
hǫwaˀgę́:ˀęh	'his/her younger brother'	[hǫwa-ˀgę́:ˀęh]	s/he:him-younger.sibling
sheˀgę́:ˀęh	'your younger sister'	[she-ˀgę́:ˀęh]	you:her-younger.sibling
etiˀgę́:ˀah	‘our younger sister'	[eti-ˀgę́:ˀah]	we:her-younger.sibling
shǫgwaˀgę́:ˀah	‘our younger brother'	[shǫgwa-ˀgę́:ˀah]	we.all:him-younger.sibling
hehá:wahk	‘my son’	[he-há:wahk]	I:him-child
kehá:wahk	‘my daughter’	[ke-há:wahk]	I:her-child
ǫdatawá:kˀah	‘her maternal niece’	[ǫdat-hawá:kˀah]	she:her-niece
kehawá:kˀah	‘my maternal niece’	[ke-hawá:kˀah]	I:her-niece
gakeyǫ̲hwá:dęˀ	‘my brother's children’; ‘my nieces and nephews’	[gakey-ǫ̲hwá:dęˀ]	I/we.two:them-niece/nephew
keyǫhwá:dęˀ	‘my niece’	[key-ǫhwá:dęˀ]	I:her-niece/nephew
gasheyǫ̱hwádę̲ˀsǫˀ	‘your nieces and nephews’	[gashey-ǫ̱hwádę̲ˀsǫˀ]	you.singular:them-niece/nephew
gakeya̲ˀdá:węh	‘my brother's children’	[gake-ya̲ˀdá:węh]	I/we.two:them-niece/nephew
heyáˀdawęh	‘my nephew’	[he-yáˀdawęh]	I:him-supported.one
keyáˀdawęh	‘my brother's kids’	[ke-yáˀdawęh]	I:her-supported.one
hehshéhjiˀah	‘your older brother'	[hehshé-hjiˀah]	you:him-older.sibling
kehjíˀah	‘my older sister'	[ke-hjíˀah]	I:her-older.sibling
hakso:t	‘my grandfather’	[hagé-hso:t, hak-hso:t ]	he:me-grand.parent
hǫwáhso:t	‘his/her grandfather’	[hǫwá-hso:t]	she/he:him-grand.parent
ǫkíno̲haˀ	‘our mother’	[ǫkí-no̲haˀ]	she/they:us-mother
ǫkino̲há:ˀah	‘our (plural) aunt’	[ǫki-no̲há:ˀah]	she/they:us-aunt
hǫwáno̲ˀsęh	‘his/her uncle’	[hǫwá-no̲ˀsęh]	s/he:him-uncle
hyanóˀsęh	‘your (sg) uncle’	[hya-nóˀsęh]	he:you-uncle
shǫkníno̲ˀsęh	‘our (du) uncle’	[shǫkní-no̲ˀsęh]	he:us.two-uncle
hǫwáˀnih	‘his/her father’	[hǫwá-ˀnih]	s/he:him-father
hya̲ˀnih	‘your father’	[hya̲-ˀnih]	he:you-father
hǫwaˀní:hah	‘her godfather/step-father’	[hǫwa-ˀní:hah]	s/he:him-step.father
hakno:ˀ	‘my step-father’	[hak-no:ˀ]	he:me-step.parent/child
hehsno:ˀ	‘your step-son’	[hehs-no:ˀ]	you:him-step.parent/child
shé:no:ˀ	‘your step-daughter’	[shé:-no:ˀ]	you:her-step.parent/child
ǫkino̲há:ˀah	‘our (plural) aunt’	[ǫki-no̲há:ˀah]	she/they:us-aunt
shǫkníno̲ˀsęh	‘our (dual) uncle’	[shǫkní-no̲ˀsęh]	he:us.two-uncle
hené:nhǫ:s	‘my son-in-law’	[he-né:nhǫ:s]	I:him-in.law
hakné:nhǫ:s	‘my father-in-law’	[hak-né:nhǫ:s]	he:me-in.law
hyané:nhǫ:s	‘your father-in-law’	[hya-né:nhǫ:s]	he:you-in.law
hǫwánenhǫ:s	‘his/her father-in-law, son-in-law’	[hǫwá-nenhǫ:s]	s/he:him-in.law
shagónenhǫ:s	‘his mother-in-law’	[shagó-nenhǫ:s]	he:her/them-in.law
ǫdade̲hsé:yǫh	‘her mother-in-law’	[ǫdade̲-hsé:yǫh]	she:her-in.law
hohjíˀah	‘his older sister’	[ho-hjíˀah]	he.o-older.sibling
hehshéhjiˀah	‘your older brother’	[hehshé-hjiˀah]	you:him-older.sibling
hohso:t	‘his Grandma’	[ho-hso:t]	he.o-grand.parent
sa̱hso:t	‘your Grandmother’	[sa̱-hso:t]	you(one).o-grand.parent
hakso:t	‘my grandfather’	[hagé-hso:t] [hak-hso:t]	he:me-grand.parent
sano:ˀ	‘your step-mother’	[sa-no:ˀ]	you(one).o-step.parent/child
hono:ˀ	‘his step-mother’	[ho-no:ˀ]	he.o-step.parent/child
hakno:ˀ	‘my step-father’	[hak-no:ˀ]	he:me-step.parent/child
honó:haˀ	‘his mother’	[ho-nó:haˀ]	he.o-mother
sanó:haˀ	‘your mother’	[sa-nó:haˀ]	you(one).o-mother
ǫkíno̲haˀ	‘our mother’	[ǫkí-no̲haˀ]	she/they:us-mother
gono:há:ˀah	‘her aunt’	[go-no:há:ˀah]	she.o-aunt
sano:há:ˀah	‘your aunt’	[sa-no:há:ˀah]	you(one).o-aunt
ǫkino̲há:ˀah	‘our (plural) aunt’	[ǫki-no̲há:ˀah]	she/they:us-aunt
aknáˀehs	‘I have a step-mother’	[ak-náˀehs]	I.o-step.mother
sanáˀehs	‘your step-mother’	[sa-náˀehs]	you(one).o-step.mother
ǫknáˀehs	‘my step-mother’	[ǫk-náˀehs]	she:me-step.mother
sadęni̲hó:nǫˀ	‘your relatives on your (s) father's side’	[s-adę-ni̲-hó:nǫˀ]	you.semireflexive-father-populative
ǫkíno̲haˀ	‘our mother’	[ǫkí-no̲haˀ]	she/they:us-mother
hǫwáno̲ˀsęh	‘his/her uncle’	[hǫwá-no̲ˀsęh]	s/he:him-uncle
hǫwáˀnih	‘his/her father’	[hǫwá-ˀnih]	s/he:him-father
hǫwaˀní:hah	‘her godfather/step-father’	[hǫwa-ˀní:hah]	s/he:him-step.father
hakso:t	‘my grandfather’	[hagé-hso:t] [hak-hso:t]	he:me-grand.parent
hehso:t	‘Grandpa!’	[he-hso:t]	I:him-grand.parent
sewáihǫh	‘you are good at something’	[se-wáihǫh]	you(one).a-good.at.something.stative
agáhshę:	‘I am slow to act’	[ag-áhshę:]	I.o-slow.moving.stative
shaˀdá:tęhs	‘you are thirsty’	[s-haˀd-á:-tęhs]	you(one).a-throat-joinerA-dried.out.habitual
go̲haˀdí:yo:	‘she is a good singer’, ‘she has a good voice’	[go̲-haˀd-í:yo:]	she.o-throat-good.stative
hǫgweˀdí:yo:	‘he is a charming or nice person’	[h-ǫgweˀd-í:yo:]	he.a-person-good.stative
agǫgwe̲ˀdáhetgęˀ	‘she is a cruel, mean person’	[ag-ǫgwe̲ˀd-á-hetgęˀ]	she.o-person-ugly.stative
gashá:sdeˀ	‘it is strong’	[ga-shá:sdeˀ]	it.a-strong.stative
ganǫ:ˀ	‘it is expensive, dear, precious’	[ga-nǫ:ˀ]	it.a-costly.stative
ga̲hǫ́ˀji:	‘it is dark-coloured’	[ga̲-hǫ́ˀji:]	it.a-dark.coloured.stative
wagyé:sęh	‘it is easy’	[w-ag-yé:s-ęh]	it.a-semireflexive-easy-stative
ohní:yǫh	‘it is hard’	[o-hní:yǫh]	it.o-hard.stative
ogáhdeh	‘it is raw’	[o-gáhdeh]	it.o-raw.stative
onáˀno:ˀ	‘it is cold, cool’	[o-náˀno:ˀ]	it.o-cold.stative
ga̲hné:ga:t	‘it is watery'	[ga̲-hné:g-a:-t]	it.a-water-joinerA-stand.stative
wa̲hsóhǫ:t	‘it is dyed'	[w-a̲hsóh-ǫ:t ]	it.a-dye-attached.stative
gadręnagáˀǫh	‘it smells good, sweet, appetizing'	[ga-dręn-a-gáˀǫh]	it.a-smell-joinerA-good.tasting.stative
gahsdaowá:nęh	‘it is raining hard’	[ga-hsda:-owá:nęh]	it.a-rain-big.stative
ohneganá:wę:	‘lead, lukewarm water’	[o-hneg-a-ná:wę:]	it.o-water-joinerA-wet.stative
oihwí:yo:	‘it is for certain, sure'	[o-ihw-í:yo:]	it.o-matter-good.stative
degáhǫˀ	‘something is lying across a path, a door, etc.’	[de-gá-hǫˀ]	dualic-it.a-lie.across.stative
gá:yęˀ	‘it is lying on the ground’	[gá:-yęˀ]	it.a-lie.stative
gadę́hda:ˀ	‘it is lying spread out on the floor or the ground’	[ga-dę́hda:ˀ]	it.a-spread.out.on.ground.stative
gagéhǫˀ	‘things are lying about, around’	[ga-géhǫˀ]	it.a-lie.about.stative
áǫt	‘it is attached’; ‘it is sticking out’	[á-ǫt]	it.o-stick.out.stative
odáhǫh	‘it is draped’	[o-dáhǫh]	it.o-draped.stative
oˀdáihę:	‘it is hot’	[o-ˀdáih-ę:]	it.o-hot-stative
ga̲hsǫwa̲hdadáihę:	‘hot plate’	[ga̲-hsǫwa̲hd-a-dáih-ę:]	it.a-wire-joinerA-hot-stative
ga̲hsǫ́wa̲hdaˀ	‘wire, needle, nails’	[ga̲-hsǫ́wa̲hd-aˀ]	it.a-wire-nsf
ohnegadáihę:	‘hot water’	[o-hneg-a-dáih-ę:]	it.o-water-joinerA-hot-stative
ohnéganohs	‘water’	[o-hnég-a-nohs]	it.o-water-joinerA-cold.stative
ga̲hǫhsrowá:nęh	‘big box’	[ga̲-hǫhsr-owá:n-ęh]	it.a-box-big-stative
gahǫ́hsraˀ	‘a box’	[ga-hǫ́hsr-aˀ ]	it.a-box-nsf
ojǫˀdowá:nęh	‘big fish’	[o-jǫˀd-owá:n-ęh]	it.o-fish-big-stative
ojǫ́ˀdaˀ	‘a fish’	[o-jǫ́ˀd-aˀ]	it.o-fish-nsf
ganǫ:ˀ	‘it is expensive, dear, precious’	[ga-nǫ:ˀ]	it.a-costly.stative
ga̲hwíhsdanǫ:ˀ	‘gold’; ‘anything expensive’	[ga̲-hwíhsd-a-nǫ:ˀ]	it.a-metal-joinerA-costly.stative
ohwíhsdaˀ	‘money, metal’	[o-hwíhsd-aˀ]	it.o-metal-nsf
gahshá:sdeˀ	‘it is strong’	[ga-hshá:sdeˀ]	it.a-strong.stative
gawa:shá:sdeˀ	‘strong wind’	[ga-wa:-shá:sdeˀ]	it.a-air-strong.stative
ó:wa:ˀ	‘wind, air’	[ó:-wa:-ˀ]	it.o-air-nsf
gagéhǫˀ	‘things are lying about’	[ga-géhǫˀ]	it.a-lie.about.stative
gawidragéhǫˀ	‘ice scattered’	[ga-widr-a-géhǫˀ]	it.a-ice-joinerA-lie.about.stative
owí:draˀ	‘ice’	[o-wí:dr-aˀ]	it.o-ice-nsf
í:ga:ˀ	‘it contains’	[í:-ga-:ˀ]	partitive-it.a-contain.stative
ga̲hna:ˀ	‘how much gas is in there’	[do:] how [niyǫ́:] a certain amount [ga̲-hn-a-:ˀ]	it.a-oil-joinerA-contain.stative
ohnaˀ	‘oil, grease’	[o-hn-aˀ]	it.o-oil-nsf
ganí:yǫ:t	‘it is hanging’	[ga-ní:yǫ:t]	it.a-hang.stative
gayęhsraní:yǫ:t	‘a hanging blanket’	[ga-yęhsr-a-ní:yǫ:t]	it.a-blanket-joinerA-hang.stative
oyę́hsraˀ	‘a blanket’	[o-yę́hsr-aˀ]	it.o-blanket-nsf
gayahkwaní:yǫ:t	‘hanging pants’	[ga-yahkw-a-ní:yǫ:t]	it.a-pants-joinerA-hang.stative
oyáhkwaˀ	‘pants’	[o-yáhkw-aˀ]	it.o-pants-nsf
adę́hęˀ	‘a fence’	[ø-adę́hę-ˀ]	ø.prefix-gate-noun.stem.former
wadíhǫh	‘it is leaning’	[w-adíh-ǫh]	it.a-lean-stative
ga̲hǫwadíhǫh	‘a leaning boat’	[ga̲-hǫw-adíh-ǫh]	it.a-boat-lean-stative
ga̲hǫ́:waˀ	‘a boat’	[ga̲-hǫ́:w-aˀ]	it.a-boat-nsf
ohahaˀdíhǫh	‘the Milky Way’	[o-hah-adíh-ǫh]	it.o-road-lean-stative
oháhaˀ	‘road’	[o-háh-aˀ]	it.o-road-nsf
gyotsaditgę́ˀǫh	‘steam coming out’	[g-yo-t-hsad-itgę́ˀ-ǫh]	cislocative-it.o-semireflexive-fog-issue.forth-stative
gawęnitgę́ˀǫ:ˀ	‘a speech’	[ga-węn-itgę́ˀǫ-:ˀ]	it.a-word-issue.forth-nominalizer
áǫt	‘it is attached’; ‘it is sticking out’	[á-ǫt]	it.o-stick.out.stative
węˀníhsgaǫt	‘an attached wheel’	[w-ęˀníhsg-a-ǫt]	it.a-wheel-joinerA-stick.out.stative
ohsgyę́ˀdǫ:t	‘bone’	[o-hsgyę́ˀd-ǫ:t]	it.o-bone-stick.out.stative
gá:hǫh	‘it is covered’	[gá-:hǫh]	it.a-covered.stative
onyęˀgwáohǫh	‘drifted snow’	[o-nyęˀgw-á-ohǫh]	it.o-drifted.snow-joinerA-covered.stative
nitgá:deˀ	‘how high it is’ (inanimate object); ‘the height of something’	[ni-t-gá:-deˀ]	partitive-cislocative-it.a-exist.stative
ohá:deˀ	‘an existing road’	[o-há:-deˀ]	it.o-road-exist.stative
gadę́hda:ˀ	‘it is lying spread out on the floor or the ground’	[ga-dę́hda:ˀ]	it.a-lie.spread.out.stative
ganehsdá:dę̲hda:ˀ	‘a floor’	[ga-nehsdá:-dę̲hda:ˀ]	it.a-board-lie.spread.out.stative
owidradę́hda:ˀ	‘ice patch’	[o-widr-a-dę́hda:ˀ]	it.o-ice-lie.spread.out.stative
ga̲he:ˀ	‘it is sitting up on top of something’; ‘it is sitting here ’	[ga̲-he:ˀ]	it.a-sit.up.on.top.stative
ganáˀja̲he:ˀ	‘pail setting on something’	[ga-náˀj-a̲-he:ˀ]	it.a-pail-joinerA-sit.up.on.top.stative
ohsgę́ˀdra̲he:ˀ	‘it is rusting, rusty’	[o-hsgę́ˀdr-a̲-he:ˀ]	it.o-rust-joinerA-sit.up.on.top.stative
gá:yęˀ	‘it is lying on the ground’	[gá:-yęˀ]	it.a-lie.on.ground.stative
ganǫ́ˀaęˀ	‘a head lying on the ground’	[ga-nǫ́ˀa:-ęˀ]	it.a-head-lie.on.ground.stative
ohǫ́daęˀ	‘a bush, shrub’	[o-hǫ́d-a-ęˀ]	it.o-sapling-joinerA-lie.on.ground.stative
wadíhǫh	‘it is leaning against something’	[w-adíh-ǫh]	it.a-lean-stative
ga̲hǫwadíhǫh	‘a leaning boat’	[ga̲-hǫw-adíh-ǫh]	it.a-boat-lean-stative
ohahadíhǫh	‘the Milky Way’	[o-hah-adíh-ǫh]	it.o-road-lean-stative
degáhǫˀ	‘something is lying across a path, a door, etc.’	[de-gá-hǫˀ]	dualic-it.a-lie.across.stative
odóˀda̲hǫˀ	‘little waves’	[o-dóˀd-a̲-hǫˀ]	it.o-wave-joinerA-lie.across.stative
sgahsakáhǫ:ˀ	‘large mouth bass’	[s-ga-hs-a-káhǫ-:ˀ]	repetitive-it.a-mouth-joinerA-adjoin.stative-nominalizer
ohyákahǫˀ	‘tomatoes’	[o-hy-á-kahǫˀ]	it.o-berry-joinerA-adjoin.stative
gahnyo:t	‘it is standing’	[ga-hny-o:t]	it.a-stick-stand.stative
ga̲há:do:t	‘forest’	[ga̲-há:d-o:t]	it.a-forest-stand.stative
odrǫ́hyo:t	‘sunbeam, ray of light, sunshine’	[o-drǫ́hy-o:t]	it.o-beam.of.light-stand.stative
ojihsǫ́:da:ˀ	‘a cluster of stars, a star’	[o-jihsǫ́:da:-ˀ]	it.o-star-nsf
nigyowáęhę:	‘the direction of the wind’	[ni-g-yo-wá:-ęhę:]	partitive-cislocative-it.o-wind-direction.of.stative
ó:wa:ˀ	‘air, wind, a moth’	[ó:-wa:-ˀ]	it.o-air-nsf
heyohnegę́hę:ˀ	‘downstream’	[he-yo-hneg-ę́hę:ˀ]	translocative-it.o-water-direction.of.stative
ohnéga̲ˀgeh	‘on the water’	[o-hnég-a̲ˀgeh]	it.o-water-on
oˀnéhsaiˀ	‘it is sandy’	[o-ˀnéhs-a-iˀ]	it.o-sand-joinerA-stuck.to.stative
oˀnéhsaˀ	‘sand’	[o-ˀnéhs-aˀ]	it.o-sand-nsf
ohéhdaiˀ	‘earth is stuck to it’	[o-héhd-a-iˀ]	it.o-earth-joinerA-stuck.to.stative
ohéhdaˀ	‘dirt, earth, ground, land’	[o-héhd-aˀ]	it.o-earth-nsf
oihwagę́hya:t	‘it is almost to the end’	[o-ihw-a-gę́hya:t]	it.o-matter-joinerA-edge.of.stative
oíhwaˀ	‘message’; ‘it matters’; ‘it is its fault’; ‘word, affair, business’	[o-íhw-aˀ]	it.o-matter-nsf
ohnegagę́hya:t	‘just above the water’	[o-hneg-a-gę́hya:t]	it.o-water-joinerA-edge.of.stative
ohnéga̲ˀgeh	‘on the water’	[o-hnég-a̲ˀgeh]	it.o-water-on
degaiˀę́ho:t	‘it is piled up’	[de-ga-iˀę́h-o:t]	dualic-it.a-pile-stand.stative
ga̲hsdęhó:dǫˀ	‘mountains, pile of boulders’	[ga̲-hsdęh-ó:d-ǫˀ]	it.a-rock-stand.stative-pluralizer
sganáˀja:t	‘one bottle’	[s-ga-náˀj-a:-t]	repetitive-it.a-drum-joinerA-stand.stative
ganáˀja:t	‘a standing bottle’	[ga-náˀj-a:-t]	it.a-drum-joinerA-stand.stative
niyohǫnáˀdage:	‘three potatoes’	[ahsę́h] three [ni-yo-hǫnáˀd-age:]	partitive-it.o-potato-two.or.more.stative
nigahǫnáˀdage:	‘three potatoes’	[ahsę́h] three [ni-ga-hǫnáˀd-age:]	partitive-it.a-potato-two.or.more.stative
ohǫ́na̲ˀdaˀ	‘potatoes’	[o-hǫ́na̲ˀd-aˀ]	it.o-potato-nsf
sgayę́hsra:t	‘one blanket’	[s-ga-yę́hsr-a:-t]	repetitive-it.a-blanket-joinerA-stand.stative
joyę́hsra:t	‘one blanket’	[j-o-yę́hsr-a:-t]	repetitive-it.o-blanket-joinerA-stand.stative
oyę́hsraˀ	‘blanket’	[o-yę́hsr-aˀ]	it.o-blanket-nsf
sgahǫ́na̲ˀda:t	‘one potato’	[s-ga-hǫ́na̲ˀd-a:-t]	repetitive-it.a-potato-joinerA-stand.stative
jo̲hǫ́na̲ˀda:t	‘one potato’	[j-o̲-hǫ́na̲ˀd-a:-t ]	repetitive-it.o-potato-joinerA-stand.stative
ohǫ́na̲ˀdaˀ	‘potato’	[o-hǫ́na̲ˀd-aˀ]	it.o-potato-nsf
joháha:t	‘one road’	[j-o-háh-a:-t]	repetitive-it.o-road-joinerA-stand.stative
oháhaˀ	‘road’	[o-háh-aˀ]	it.o-road-nsf
sekséˀda̲ˀgeh	‘on your belly’	[s-e-kséˀd-a̲ˀgeh]	you(one).a-epen-belly-on
gikséˀdo:t	‘my navel, my belly button’	[g-ikséˀd+o:t]	I.a-belly-attached.stative
gatséˀdaˀ	‘a bottle’	[ga-itséˀd-aˀ] it.a-bottle-nsf [ga-tséˀd-aˀ]	it.a-bottle-nsf
otséˀdo:t	‘hubbard squash’	[o-tséˀd_o:t]	it.o-bottle-stand.stative
getséˀdo:t	‘my navel’	[g-e-tséˀd+o:t ]	I.a-epen-bottle-stand.stative
niwú:ˀuh	'it is small'	[niwú:ˀuh]	partitive-it.a-small.stative
nihahna̲ˀtsˀú:ˀuh	‘he has a small butt’	[ni-ha-hna̲ˀts-ú:ˀuh]	partitive-he.a-buttocks-small.stative
hahnáˀtsa̲ˀgeh	‘on his buttocks’	[ha-hnáˀts-a̲ˀgeh]	he.a-buttocks-on
[+es]	'long',	[í:yǫs] 'it is long' [í:-y-ǫs]	prothetic-it.o-long.stative
degénętse:s	‘my arms are long’; ‘I have two long arms’	[de-g-é-nęts-e:s]	dualic-I.a-joinerE-arm-long.stative
knętsáˀgeh	‘on my arm’	[k-nęts-áˀgeh]	I.a-arm-on
niwú:ˀuh	'it is small'	[niwú:ˀuh]	partitive-it.a-small.stative
nihohkyędahkú:ˀuh	‘his small chair’	[ni-ho-hkyędahk-ú:ˀuh]	partitive-he.o-chair-small.stative
akyę́da̲hkwaˀ	‘chair’	[akyę́da̲hkw-aˀ]	chair-nsf
[+es]	'long',	[í:yǫs] 'it is long' [í:-y-ǫs]	prothetic-it.o-long.stative
sanóˀje:s	‘your tooth is long’	[sa-nóˀj-e:s]	you(one).o-tooth-long.stative
onóˀjaˀ	‘tooth’	[o-nóˀj-aˀ]	it.o-tooth-nsf
snętso:t	‘you have an (attached) arm’	[s-nęts-o:t]	you(one).a-arm-stand.stative
snętsáˀgeh	‘on your arm’	[s-nęts-áˀgeh]	you(one).a-arm-on
hoˀdréhdaęˀ	‘he has a car, his car’	[ho-ˀdréhd-a-ęˀ]	he.o-car-joinerA-lie.stative
hó:yęˀ	‘he has, owns it’	[hó:-yęˀ]	he.o-lie.stative
ga̲ˀdréhdaˀ	‘car’	[ga̲-ˀdréhd-aˀ]	it.a-car-noun.stem.former
ogéˀa:ˀ	‘hair’; ‘a rag’	[o-géˀa:-ˀ]	it.o-hair-noun.stem.former
sanę́:tso:t	‘you have an arm’; ‘your attached arm’	[sa-nę́:ts-o:t]	you(one).o-arm-stand.stative
snętsáˀgeh	‘on your arm’	[s-nęts-áˀgeh]	you(one).a-arm-on
knoˀjo:t	‘I have teeth’	[k-noˀj-o:t]	I.a-tooth-stand.stative
kno̲ˀjáˀgeh	‘on my teeth’	[k-no̲ˀj-áˀgeh]	I.a-tooth-on
honáhsgwaęˀ	‘he has a pet’	[ho-náhsgw-a-ęˀ]	he.o-domestic.animal-joinerA-lie.stative
ganáhsgwaˀ	‘pet’; ‘domestic animal’	[ga-náhsgw-aˀ]	it.a-domestic.animal-noun.stem.former
ganóˀjaęˀ	‘it has teeth’	[ga-nóˀj-a-ęˀ]	it.a-teeth-joinerA-lie.stative
sagǫ́hsaęˀ	‘you have a face’	[sa-gǫ́hs-a-ęˀ]	you(one).o-face-joinerA-lie.stative
ehyagwiyó:dǫˀ	‘she is got toes’; ‘her toes’	[e-hyagwiy-ó:d-ǫˀ]	she.a-toe-stand.stative-pluralizer
godinǫhsáędǫˀ	‘they (females or mixed) have several houses’	[godi-nǫhs-á-ę-d-ǫˀ]	they(animals)/objects.o-house-joinerA-lie.stative-pronunciation.d-pluralizer
ganǫ́hsaˀ	‘house’	[ga-nǫ́hs-aˀ]	it.a-house-noun.stem.former
sehshaǫ:t	‘you are tied up’	[s-e-hsh-a-ǫ:t]	you(one).a-joinerE-string-stand.stative
odwę́:no:t	‘it is baying, howling’	[o-d-wę́:n-o:t]	it.o-semireflexive-voice-stand.stative
gonhę́ho:t	‘she pees all the time’	[go-nhę́h-o:t]	she.o-urine-stand.stative
ęhsęnadáęˀ	‘you will camp’	[ę-hs-ę-nad-á-ęˀ]	future-you(one).a-semireflexive-town-joinerA-lie.stative
degaǫwę́hda:s	'they (females or mixed group) run'	[de-gaǫ-wę́hda:d-s]	dualic-they(fe/males).a-run-habitual
da:gáǫwę̲hda:t	'they (females or mixed group) might run'	[d-a:-gáǫ-wę̲hda:t]	dualic-indefinite-they(fe/males).a-run-ø.punctual
dewagę̲hdá:dǫh	'I have run'	[de-wag-ę̲hdá:d-ǫh]	dualic-I.o-run-stative
de̲haihwágenhahs	‘he is a lawyer’	[de̲-ha-ihw-á-genh-a-hs]	dualic-he.a-matter-joinerA-advocate-joinerA-habitual
dęhsrihwagé:nhaˀ	‘you will argue, debate, protest’	[d-ę-hs-rihw-a-gé:nh-a-ˀ]	dualic-future-you(one).a-matter-joinerA-advocate-joinerA-punctual
deyagodihwágenhęh	‘they (f/m) are arguing’	[de-yagodi-ihw-á-genh-ęh]	dualic-they(fe/males).o-matter-joinerA-advocate-stative
gę:s	‘I used to sleep a lot’	[i:sóˀ] much [ag-ida̲-hs-gęhę́:ˀ ]	I.o-sleep-habitual-past
ęwa:gí:daˀ	‘I will sleep’	[ę-wa:g-í:da-ˀ]	future-I.o-sleep-punctual
ǫgí:daˀ	‘I slept’	[ǫg-í:da-ˀ]	I.o-sleep-punctual
agída̲ˀǫh	‘I amsleeping’	[ag-ída̲ˀ-ǫh]	I.o-sleep-stative
hoyǫ́:dih	‘he is smiling’	[ho-yǫ́:di-h]	he.o-smile-habitual
aho:yǫ́:diˀ	‘he smiled’	[a-ho:-yǫ́:di-ˀ]	factual-he.o-smile-punctual
agénya̲ˀgwahs	‘I vomit all the time’	[ag-é-nya̲ˀgw-a-hs]	I.o-joinerE-vomit-joinerA-habitual
ǫgénya̲ˀgoˀ	‘I vomited’	[ǫg-é-nya̲ˀgo-ˀ]	factual.I.o-joinerE-vomit-punctual
de̲hóhetaˀ	‘he is hollering’	[de̲-hó-het-haˀ]	dualic-he.o-yell-habitual
athóhe:t	‘he hollered or yelled’	[a-t-hó-he:t]	factual-dualic-he.o-yell-ø.punctual
ęhshǫ:gwá:yǫˀ	'he will give something to us all'	[ę-hshǫ:gwá:y-ǫ-ˀ]	future-he:us-give-punctual
shǫgwá:wi:	'he has given something to us all'	[shǫgw-á:wi-:]	he:us-give-stative
gá:gęh(s)	'it sees (it)'	[gá:-gę-hs]	it.a-see-habitual
ęgá:gęˀ	'it will see (it)'	[ę-gá:-gę-ˀ]	future-it.a-see-punctual
hehaihwę́hęhs	'he always takes the message’; ‘he is a messenger'	[he-ha-ihw-ę́hę-hs]	translocative-he.a-matter-convey-habitual
agé:gaˀs	‘I like the taste (of it)’	[ag-é:-gaˀ-s]	I.o-joinerE-like.the.taste.of-habitual
ęwa:gé:gaˀ	‘I will like the taste’	[ę-wa:g-é:-gaˀ]	future-I.o-joinerE-like.the.taste.of–ø.punctual
giˀ	‘I did like (it)!’	[ǫg-e:-gáˀ]	I.o-joinerE-like.the.taste.of.stative
agé:swahs	‘I smell (it) right now’	[ag-é:-sw-a-hs]	I.o-joinerE-smell-joinerA-habitual
ęwágeshoˀ	‘I’ll smell (it)’	[ę-wág-e-sho-ˀ]	future-I.o-joinerE-smell-punctual
ǫgé:shoˀ	‘I did smell (it)’	[ǫg-é:-sho-ˀ]	factual.I.o-joinerE-smell-punctual
ǫga:tǫ́:dęh	‘I heard (it)’	[ǫg-a:tǫ́:dęh]	I.o-hear-ø.punctual
agatǫdę́ˀǫh	‘I’ve heard (it) before’	[ag-atǫdę́ˀ-ǫh]	I.o-hear-stative
hehó:gyeˀs	‘it throws (it)’ (all the time); ‘he is a pitcher’	[he-hó:-gy-eˀs]	translocative-he.o-throw-habitual
haˀhó:diˀ	‘he threw (it)’	[haˀ-hó:-di-ˀ]	translocative-he.o-throw-punctual
hehó:gyǫ:	‘he has thrown (it)’	[he-hó:-gy-ǫ:]	translocative-he.o-throw-stative
hadó:wa:s	'he is a hunter'	[h-adó:wa:d-s]	he.a-hunt-habitual
hadowasgę́hę:ˀ	'he used to be a hunter'	[h-adowad-s-gę́hę:ˀ]	he.a-hunt-habitual-past
hadówa̲hstahk	'he used to be a hunter (long ago)'	[h-adówa̲hst-ha-hk]	he.a-hunt-habitual-former
hahdo:s	'he dives, he is a diver'	[h-ahdo:-s]	he.a-dive-habitual
hahdóhsgę̲hę:ˀ	'he used to dive'	[h-ahdó-hs-gę̲hę:ˀ]	he.a-dive-habitual-past
go̲hsóˀkaˀ	'she is limping'	[go̲-hsóˀk-haˀ]	she.o-limp-habitual
go̲hsóˀkahk	'she used to limp’	[go̲-hsóˀk-ha-hk]	she.o-limp-habitual-former
ęhsáhso̲ˀka:k	'you will limp'	[ę-hs-áhso̲ˀk-ha-:k]	future-you(one).o-limp-habitual-modalizer
agé:gaˀs	'I like the taste of it'	[ag-é:-gaˀ-s]	I.o-joinerE-like.the.taste.of-habitual
saníˀǫh	'you are stingy, greedy, cheap'	[sa-níˀ-ǫh]	you(one).o-cheap-stative
saníˀǫhne:ˀ	'you used to be stingy'	[sa-níˀ-ǫh-ne:ˀ]	you(one).o-cheap-stative-past
